Metadata for SNPL_nest_habitat_CLEAN.csv. ,
,
ID,ID number given to nest or random point. 
Type,Location type. Nest site or random point. 
Collection Period,"For nests in the breeding season, identifies whether data was collected the date the nest was found, before the (estimated or actual) hatch date, or after the (estimated or actual) hatch date. "
Date,Date of sample collection. 
Season,Season of collection: summer (nesting season) or fall (after nesting season has ended). 
Latitude,Geographic latitude in decimal degrees. WGS84
Longitude,Geographic longitude in decimal degrees. WGS84
Spec,Specified object: Identity of any specific object within 15 cm of nest cup.
Unspec,Unspecified: Notes about the point including whether it was in water (unable to sample).
Half,Percent total cover in a 0.5 m radius. 
Two,Percent total cover in a 2 m radius. 
TwoVeg,Percent live and dead vegetative cover out of all vegetative cover in a 2 m radius. 
Live,Renamed to LiveVeg in script. Percent live vegetative cover in a 2 m radius. 
DeadVegManual,Renamed to DeadVeg in script. Percent dead vegetative cover in a 2 m radius. 
SR,Percent Sea Rocket Cakile maritima cover in a 2 m radius. 
BP,Percent Beach Pea Lathyrus littoralis cover in a 2 m radius. 
IP,Percent Ice Plant Carpobrotus spp. cover in a 2 m radius. 
BS,Percent Beach Bur Sage Ambrosia chamissonis cover in a 2 m radius. 
VE,Percent Verbena Abronia cover in a 2 m radius. 
SG,Percent Salt Grass Distichlis spicata cover in a 2 m radius. 
DG,Percent American Dune Grass Leymus mollis cover in a 2 m radius. 
SH,Percent Sea Heath Frankenia salina cover in a 2 m radius. 
SB,Percent Beach Saltbush Atriplex leucophylla cover in a 2 m radius. 
PW,Percent Pickleweed Salicornia pacifica cover in a 2 m radius. 
KE,Percent beach cast kelp cover in a 2 m radius. 
VV,Percent Velella velella cover in a 2 m radius. 
WO,Percent woody debris cover in a 2 m radius. 
SL,Percent shell (> 3 cm) cover in a 2 m radius. 
MI,Percent miscellaneous debris cover in a 2 m radius. 
Viewshed,Visual estimate of degrees of unobstructed viewshed within a 20 m radius. (0-360 degrees)
Pioneer_Builders,Percent Pioneer Builders cover in a 2 m radius. 
Secondary_Stabilizers,Percent Secondary Stabilizers cover in a 2 m radius. 
Secondary_Builders,Percent Secondary Builders cover in a 2 m radius. 
Pioneer_Stabilizers,Percent Pioneer Stabilizers cover in a 2 m radius. 
Tertiary_Stabilizers,Percent Tertiary Stabilizers cover in a 2 m radius. 
NonVeg,Percent Non-vegetative cover in a 2 m radius. 
