"","ID","Type","Date","Season","Latitude","Longitude","Half","Two","TwoVeg","DeadVegManual","SR","IP","BS","WO","SL","Viewshed","Pioneer_Builders","Secondary_Stabilizers","Pioneer_Stabilizers","NonVeg","PairID","Object","Object_Type","Viewshed_sc","SeasonN","Outcome","PointID"
"1",6,"Nest",2024-10-07,"Fall",36.73584,-121.80467,5,1,0.6,0.6,0,0.6,0,0.4,0,300,0,0.6,0,0.4,"sx 6","Present","Vegetation",0.833333333333333,2,1,"sx 6Nest"
"2",3,"Nest",2024-10-07,"Fall",36.73632,-121.80431,5,10,5,3,4,1,0,2.5,0,360,4,1,0,5,"sx 3","Present","Vegetation",1,2,1,"sx 3Nest"
"3",12,"Nest",2024-10-09,"Fall",36.73862,-121.80415,20,25,25,12.5,5,0,17.5,0,0,360,5,5,17.5,0,"sx 12","Present","Vegetation",1,2,1,"sx 12Nest"
"4",20,"Nest",2024-10-10,"Fall",36.74001,-121.803616,40,25,25,7.5,2.5,0,17.5,0,0,345,2.5,5,17.5,0,"sx 20","Present","Vegetation",0.958333333333333,2,1,"sx 20Nest"
"5",9,"Nest",2024-10-09,"Fall",36.7394,-121.80366,10,5,2,1.8,0.5,1.5,0,1.5,0,315,0.5,1.5,0,3,"sx 9","Absent","None",0.875,2,1,"sx 9Nest"
"6",8,"Nest",2024-10-09,"Fall",36.73906,-121.80362,10,5,0.5,0.5,0,0.5,0,4.5,0,360,0,0.5,0,4.5,"sx 8","Present","Non-veg Wood or Shell",1,2,1,"sx 8Nest"
"7",1,"Nest",2024-10-10,"Fall",36.74317,-121.80336,10,5,4.5,1.8,3,1.5,0,0.5,0,360,3,1.5,0,0.5,"sx 1","Present","Vegetation",1,2,1,"sx 1Nest"
"8",19,"Nest",2024-10-10,"Fall",36.74412,-121.80419,15,15,12,3.6,6,0,6,3,0,315,6,0,6,3,"sx 19","Present","Non-veg Wood or Shell",0.875,2,1,"sx 19Nest"
"9",40,"Nest",2024-10-10,"Fall",36.74774,-121.80337,25,15,13,6.5,0,0,12.75,1.5,0.75,285,0,0,12.75,2.25,"sx 40","Present","Vegetation",0.791666666666667,2,1,"sx 40Nest"
"10",36,"Nest",2024-10-10,"Fall",36.74445,-121.80415,20,20,14,5.6,8,6,0,6,0,360,8,6,0,6,"sx 36","Present","Vegetation",1,2,1,"sx 36Nest"
"11",25,"Nest",2024-10-10,"Fall",36.74403,-121.80338,20,5,3.75,0.75,2,1.25,0,1.25,0,345,2,1.75,0,1.25,"sx 25","Present","Vegetation",0.958333333333333,2,1,"sx 25Nest"
"12",31,"Nest",2024-10-10,"Fall",36.74322,-121.80336,10,10,8,4.8,4,4,0,2,0,360,4,4,0,2,"sx 31","Present","Vegetation",1,2,1,"sx 31Nest"
"13",37,"Nest",2024-10-10,"Fall",36.74214,-121.80363,40,40,34,3.4,0,0,0,4,2,360,0,34,0,6,"sx 37","Present","Non-veg Wood or Shell",1,2,1,"sx 37Nest"
"14",27,"Nest",2024-10-10,"Fall",36.74112,-121.80338,10,5,3,2.4,0.5,2,0,2,0,360,1,2,0,2,"sx 27","Present","Vegetation",1,2,1,"sx 27Nest"
"15",29,"Nest",2024-10-09,"Fall",36.73836,-121.80413,10,10,5,2,3,2,0,5,0,300,3,2,0,5,"sx 29","Present","Vegetation",0.833333333333333,2,1,"sx 29Nest"
"16",41,"Nest",2024-10-07,"Fall",36.7359,-121.80469,5,1,0.85,0.85,0,0.85,0,0.15,0,300,0,0.85,0,0.15,"sx 41","Present","Vegetation",0.833333333333333,2,1,"sx 41Nest"
"17",51,"Nest",2024-10-07,"Fall",36.735847,-121.804217,5,1,0.1,0.1,0,0.1,0,0.9,0,360,0,0.1,0,0.9,"sx 51","Absent","None",1,2,1,"sx 51Nest"
"18",43,"Nest",2024-10-07,"Fall",36.73657,-121.80362,5,10,2.5,1.25,0,0,0,7.5,0,300,0,2.5,0,7.5,"sx 43","Present","Vegetation",0.833333333333333,2,1,"sx 43Nest"
"19",53,"Nest",2024-10-07,"Fall",36.736355,-121.804043,5,5,3,0.3,3,0,0,2,0,360,3,0,0,2,"sx 53","Present","Vegetation",1,2,1,"sx 53Nest"
"20",44,"Nest",2024-10-07,"Fall",36.73729,-121.80318,5,1,0.4,0.4,0,0.4,0,0.6,0,360,0,0.4,0,0.6,"sx 44","Present","Non-veg Wood or Shell",1,2,1,"sx 44Nest"
"21",34,"Nest",2024-10-09,"Fall",36.73767,-121.80446,30,5,3,0.3,3,0,0,2,0,300,3,0,0,2,"sx 34","Present","Vegetation",0.833333333333333,2,1,"sx 34Nest"
"22",30,"Nest",2024-10-09,"Fall",36.739069,-121.803121,20,15,12,0,3,0,0,2.25,0,360,3,9,0,3,"sx 30","Present","Non-veg Wood or Shell",1,2,1,"sx 30Nest"
"23",46,"Nest",2024-10-09,"Fall",36.73925,-121.80334,15,5,3.5,1.05,2,0,0,1.5,0,315,2,1.5,0,1.5,"sx 46","Present","Vegetation",0.875,2,1,"sx 46Nest"
"24",48,"Nest",2024-10-09,"Fall",36.73925,-121.80423,10,15,13.5,7.425,6,0,7.5,1.5,0,260,6,0,7.5,1.5,"sx 48","Present","Non-veg Wood or Shell",0.722222222222222,2,1,"sx 48Nest"
"25",28,"Nest",2024-10-09,"Fall",36.73979,-121.80403,10,15,15,4.5,0,0,15,0,0,360,0,0,15,0,"sx 28","Present","Vegetation",1,2,1,"sx 28Nest"
"26",49,"Nest",2024-10-10,"Fall",36.74095,-121.80361,10,5,0.75,0.75,0,0.75,0,4.25,0,360,0,0.75,0,4.25,"sx 49","Present","Non-veg Wood or Shell",1,2,1,"sx 49Nest"
"27",50,"Nest",2024-10-10,"Fall",36.74178,-121.80435,5,1,0.5,0.5,0,0.5,0,0,0.5,330,0,0.5,0,0.5,"sx 50","Absent","None",0.916666666666667,2,1,"sx 50Nest"
"28",52,"Nest",2024-10-09,"Fall",36.7384,-121.80374,15,25,20,6,11.25,0,7.5,0,0,260,11.25,8.75,7.5,0,"sx 52","Present","Vegetation",0.722222222222222,2,1,"sx 52Nest"
"29",45,"Nest",2024-10-09,"Fall",36.73809,-121.8045,5,1,1,1,0,1,0,0,0,315,0,1,0,0,"sx 45","Present","Vegetation",0.875,2,1,"sx 45Nest"
"30",62,"Nest",2024-10-09,"Fall",36.73811,-121.80464,5,5,2.5,2.5,0,2.5,0,2.5,0,315,0,2.5,0,2.5,"sx 62","Present","Vegetation",0.875,2,1,"sx 62Nest"
"31",64,"Nest",2024-10-09,"Fall",36.73952,-121.80414,15,10,6,1.5,4,2,0,4,0,360,4,2,0,4,"sx 64","Present","Vegetation",1,2,1,"sx 64Nest"
"32",58,"Nest",2024-10-10,"Fall",36.74081,-121.80441,5,1,0.4,0.4,0,0.4,0,0,0.6,240,0,0.4,0,0.6,"sx 58","Present","Non-veg Wood or Shell",0.666666666666667,2,1,"sx 58Nest"
"33",59,"Nest",2024-10-10,"Fall",36.74217,-121.80388,10,5,0,0,0,0,0,3,2,345,0,0,0,5,"sx 59","Present","Non-veg Wood or Shell",0.958333333333333,2,1,"sx 59Nest"
"34",57,"Nest",2024-10-10,"Fall",36.74243,-121.80287,10,10,7,0.7,7,0,0,3,0,360,7,0,0,3,"sx 57","Present","Non-veg Wood or Shell",1,2,1,"sx 57Nest"
"35",65,"Nest",2024-10-10,"Fall",36.74492,-121.80485,15,15,0,0,0,0,0,11.25,3.75,360,0,0,0,15,"sx 65","Present","Non-veg Wood or Shell",1,2,1,"sx 65Nest"
"36",63,"Nest",2024-10-10,"Fall",36.744688,-121.80453,70,15,14.25,2.85,14.25,0,0,0,0.75,300,14.25,0,0,0.75,"sx 63","Present","Vegetation",0.833333333333333,2,1,"sx 63Nest"
"37",56,"Nest",2024-10-10,"Fall",36.745018,-121.803261,20,15,13.5,3.375,1.5,0,12,1.5,0,360,1.5,0,12,1.5,"sx 56","Present","Vegetation",1,2,1,"sx 56Nest"
"38",61,"Nest",2024-10-07,"Fall",36.73615,-121.8045,15,10,9,2.7,6,0,0,1,0,315,6,4,0,1,"sx 61","Present","Non-veg Wood or Shell",0.875,2,1,"sx 61Nest"
"39",54,"Nest",2024-10-07,"Fall",36.736475,-121.804451,10,5,4,1.2,2.5,1.5,0,0.75,0,270,2.5,1.5,0,1,"sx 54","Present","Non-veg Wood or Shell",0.75,2,1,"sx 54Nest"
"40",60,"Nest",2024-10-07,"Fall",36.7354,-121.80496,10,5,2.75,0.825,2,0.75,0,2.25,0,360,2,0.75,0,2.25,"sx 60","Present","Vegetation",1,2,1,"sx 60Nest"
"41",266,"Random Point",2024-10-07,"Fall",36.73582,-121.80471,0,0,0,0,0,0,0,0,0,360,0,0,0,0,"sx 6","Absent","None",1,2,0,"sx 6Random Point"
"42",203,"Random Point",2024-10-07,"Fall",36.73618,-121.80418,0,0,0,0,0,0,0,0,0,360,0,0,0,0,"sx 3","Absent","None",1,2,0,"sx 3Random Point"
"43",224,"Random Point",2024-10-09,"Fall",36.73852,-121.80432,1,35,35,12.25,10.5,0,3.5,0,0,225,10.5,21,3.5,0,"sx 12","Absent","None",0.625,2,0,"sx 12Random Point"
"44",201,"Random Point",2024-10-10,"Fall",36.73983,-121.80367,5,15,15,4.5,5.25,0,0,0,0,285,7.5,7.5,0,0,"sx 20","Present","Vegetation",0.791666666666667,2,0,"sx 20Random Point"
"45",144,"Random Point",2024-10-09,"Fall",36.73951,-121.80356,5,15,13.5,1.35,9,0,3,1.5,0,345,9,0,3,1.5,"sx 9","Absent","None",0.958333333333333,2,0,"sx 9Random Point"
"46",109,"Random Point",2024-10-09,"Fall",36.7391,-121.80356,1,1,0.5,0.5,0,0.5,0,0.5,0,330,0,0.5,0,0.5,"sx 8","Absent","None",0.916666666666667,2,0,"sx 8Random Point"
"47",21,"Random Point",2024-10-10,"Fall",36.743,-121.80363,0,0,0,0,0,0,0,0,0,360,0,0,0,0,"sx 1","Absent","None",1,2,0,"sx 1Random Point"
"48",159,"Random Point",2024-10-10,"Fall",36.74402,-121.8043,10,20,18,4.5,10,2,6,2,0,360,10,2,6,2,"sx 19","Absent","None",1,2,0,"sx 19Random Point"
"49",86,"Random Point",2024-10-10,"Fall",36.74763,-121.80352,20,30,25,7.5,0,0,0,3,0,300,9,19.5,0,6,"sx 40","Present","Vegetation",0.833333333333333,2,0,"sx 40Random Point"
