SX Nest,rSX RP,Collected Nesting,Collected Fall
1,21,Y,Y
3,203,Y,Y
6,266,Y,Y
8,109,Y,Y
9,144,Y,Y
10,47,Y,"Y nest, N rp"
12,224,Y,Y
14,211,Y,N
19,159,Y,Y
20,201,Y,Y
21,134,Y,N
25,20,Y,Y
27,215,Y,Y
28,175,Y,Y
29,78,Y,Y
30,95,Y,Y
31,153,Y,Y
34,183,Y,Y
36,178,Y,Y
37,177,Y,Y
38,279,Y,"Y nest, N rp"
40,86,Y,"N nest, Y rp"
41,125,Y,Y
43,84,Y,Y
44,226,Y,Y
45,199,Y,Y
46,69,Y,Y
48,237,Y,Y
49,283,Y,Y
50,258,Y,Y
51,222,Y,Y
52,246,Y,Y
53,254,Y,Y
54,244,Y,Y
56,267,Y,Y
57,156,Y,Y
58,58,Y,Y
59,218,Y,Y
60,149,Y,Y
61,142,Y,Y
62,32,Y,Y
63,219,Y,Y
64,3,Y,Y
65,253,Y,Y
