Model,Formula,K,AIC,DeltaAIC,Deviance,df
fullmod.1.sm,"Outcome ~ Object_Type + poly(TwoVeg, 2) + poly(Half, 2)",7,118.48512719758963,0,104.48512719758962,162
fullmod.2.sm,"Outcome ~ Object_Type + poly(TwoVeg, 2) + poly(Half, 2) + Viewshed_sc",8,118.88844533154136,0.40331813395172844,102.88844533154139,161
fullmod.1.fg,"Outcome ~ Object_Type + poly(Pioneer_Stabilizers, 2) + Pioneer_Builders",6,119.34444007168244,0.859312874092808,107.34444007168253,163
fullmod.1.is,"Outcome ~ Object_Type + poly(BS, 2) + IP + poly(SR, 2) + WO",9,119.67355465758727,1.1884274599976408,101.67355465758726,160
fullmod.2.fg,"Outcome ~ Object_Type + poly(Pioneer_Stabilizers, 2) + Pioneer_Builders +      NonVeg",7,119.8295034215579,1.3443762239682684,105.82950342155789,162
fullmod.3.fg,"Outcome ~ Object_Type + poly(Pioneer_Stabilizers, 2) + Pioneer_Builders +      Viewshed_sc",7,119.93674012776023,1.4516129301705973,105.93674012776022,162
fullmod.3.sm,"Outcome ~ Object_Type + poly(TwoVeg, 2) + poly(Half, 2) + NonVeg",8,120.09693834116418,1.611811143574542,104.09693834116418,161
fullmod.2.is,"Outcome ~ Object_Type + poly(BS, 2) + IP + poly(SR, 2)",8,120.63875315876571,2.1536259611760755,104.6387531587657,161
fullmod.3.is,"Outcome ~ Object_Type + poly(BS, 2) + IP + poly(SR, 2) + WO +      Viewshed_sc",10,120.83071527124996,2.3455880736603234,100.83071527124999,159
fullmod.4.fg,"Outcome ~ Object_Type + poly(Pioneer_Stabilizers, 2) + Pioneer_Builders +      Secondary_Stabilizers",7,121.3378608194386,2.8527336218489694,107.33786081943857,162
fullmod.4.is,"Outcome ~ Object_Type + poly(BS, 2) + IP + poly(SR, 2) + WO +      SL",10,121.64686199539007,3.1617347978004346,101.64686199539013,159
fullmod.4.sm,"Outcome ~ Object_Type + poly(TwoVeg, 2) + poly(Half, 2) + poly(DeadVegManual,      2)",9,122.3900016283777,3.9048744307880696,104.39000162837782,160
fullmod.5.is,"Outcome ~ Object_Type + poly(BS, 2) + IP + WO",7,124.83325536630984,6.3481281687202085,110.83325536630987,162
fullmod.5.fg,"Outcome ~ Object_Type + poly(Pioneer_Stabilizers, 2)",5,133.73650955220043,15.251382354610797,123.73650955220046,164
summermod.1.sm,"Outcome ~ Object_Type + poly(TwoVeg, 2) + poly(Half, 2)",7,53.77908761014608,0,39.779087610146064,73
summermod.2.sm,"Outcome ~ Object_Type + poly(TwoVeg, 2) + poly(Half, 2) + NonVeg",8,55.29064362040258,1.5115560102564984,39.290643620402584,72
summermod.3.sm,"Outcome ~ Object_Type + poly(TwoVeg, 2) + poly(Half, 2) + Viewshed_sc",8,55.77391491658236,1.9948273064362851,39.77391491658236,72
summermod.4.sm,"Outcome ~ Object_Type + poly(TwoVeg, 2) + poly(Half, 2) + poly(DeadVegManual,      2)",9,56.172603088303205,2.393515478157127,38.172603088303205,71
summermod.1.is,"Outcome ~ Object_Type + BS + poly(SR, 2)",6,61.886924328520806,8.107836718374728,49.88692432852081,74
summermod.2.is,"Outcome ~ Object_Type + BS + poly(SR, 2) + WO",7,63.07040715507709,9.291319544931014,49.07040715507706,73
summermod.3.is,"Outcome ~ Object_Type + BS + poly(SR, 2) + SL",7,63.24477062366755,9.46568301352147,49.24477062366757,73
summermod.4.is,"Outcome ~ Object_Type + BS + poly(SR, 2) + IP",7,63.67024651811835,9.891158907972269,49.670246518118354,73
summermod.5.is,"Outcome ~ Object_Type + BS + poly(SR, 2) + Viewshed_sc",7,63.87073883660319,10.09165122645711,49.87073883660318,73
summermod.1.fg,Outcome ~ Object_Type + Pioneer_Stabilizers + Pioneer_Builders,5,64.28183986224798,10.5027522521019,54.281839862248006,75
summermod.2.fg,Outcome ~ Object_Type + Pioneer_Stabilizers,4,64.41726274976469,10.63817513961861,56.41726274976471,76
