Model,Term,Estimate,Std.Error,z,Low_CI,High_CI,p-value,Sig
summermod.1.sm,(Intercept),1.064,1.203,0.884,-1.294,3.421,0.377,
summermod.1.sm,Object_TypeNone,-3.278,1.273,-2.575,-5.774,-0.783,0.01,*
summermod.1.sm,Object_TypeVegetation,-0.992,1.371,-0.724,-3.679,1.694,0.469,
summermod.1.sm,"poly(TwoVeg, 2)1",-35.793,23.922,-1.496,-82.679,11.093,0.135,
summermod.1.sm,"poly(TwoVeg, 2)2",-7.489,17.527,-0.427,-41.84,26.863,0.669,
summermod.1.sm,"poly(Half, 2)1",-0.668,15.615,-0.043,-31.273,29.937,0.966,
summermod.1.sm,"poly(Half, 2)2",-27.487,13.86,-1.983,-54.652,-0.321,0.0474,*
summermod.2.fg,(Intercept),3.038,1.03,2.949,1.019,5.057,0.00319,**
summermod.2.fg,Object_TypeNone,-5.062,1.158,-4.371,-7.332,-2.792,1.24e-5,***
summermod.2.fg,Object_TypeVegetation,-1.581,1.161,-1.362,-3.856,0.695,0.173,
summermod.2.fg,Pioneer_Stabilizers,-0.071,0.041,-1.73,-0.152,0.009,0.0837,.
summermod.1.is,(Intercept),2.994,1.041,2.876,0.953,5.035,0.00403,**
summermod.1.is,Object_TypeNone,-5.154,1.18,-4.367,-7.467,-2.841,1.26e-5,***
summermod.1.is,Object_TypeVegetation,-1.271,1.227,-1.036,-3.675,1.134,0.3,
summermod.1.is,BS,-0.069,0.042,-1.63,-0.152,0.014,0.103,
summermod.1.is,"poly(SR, 2)1",-3.67,3.407,-1.077,-10.349,3.008,0.281,
summermod.1.is,"poly(SR, 2)2",-7.467,3.841,-1.944,-14.995,0.062,0.0519,.
